t	x0	y0	x1	y1	x2	y2
0.01	1.00006	-0.000454431	2.00227	-0.00510292	2.49768	-0.995805
0.02	1.00042	-0.00186698	2.00865	-0.020035	2.49091	-0.983684
0.03	1.00162	-0.00429773	2.01752	-0.0426817	2.48077	-0.965814
0.04	1.00424	-0.00777237	2.02612	-0.0689712	2.46926	-0.946179
0.05	1.00865	-0.0123664	2.03176	-0.0947083	2.45846	-0.928925
0.06	1.0146	-0.018121	2.0322	-0.115918	2.45041	-0.917963
0.07	1.02109	-0.0250151	2.02642	-0.129917	2.44654	-0.91599
0.08	1.02639	-0.0329278	2.01484	-0.1357	2.44755	-0.9241
0.09	1.02843	-0.0416729	1.99932	-0.13413	2.45315	-0.941589
0.1	1.02531	-0.0510739	1.98274	-0.127602	2.46218	-0.966208
0.11	1.01597	-0.0610485	1.96826	-0.119484	2.47283	-0.994666
0.12	1.0007	-0.0716487	1.95854	-0.1134	2.48302	-1.02331
0.13	0.981362	-0.0830445	1.95502	-0.112576	2.49086	-1.04885
0.14	0.961147	-0.0954778	1.95759	-0.119295	2.495	-1.06888
0.15	0.943959	-0.109225	1.96471	-0.134542	2.49487	-1.08236
0.16	0.933515	-0.124573	1.97385	-0.157869	2.49074	-1.08967
0.17	0.932418	-0.141776	1.98222	-0.187532	2.48355	-1.09246
0.18	0.94141	-0.16098	1.98746	-0.220888	2.47474	-1.09332
0.19	0.959033	-0.182113	1.98826	-0.254975	2.46594	-1.09516
0.2	0.981779	-0.204814	1.98457	-0.287124	2.45872	-1.10071
0.21	1.00474	-0.228436	1.97756	-0.315449	2.45429	-1.11201
0.22	1.02263	-0.252164	1.96927	-0.339086	2.45337	-1.13017
0.23	1.03092	-0.275216	1.96201	-0.358181	2.45609	-1.15525
0.24	1.02693	-0.297051	1.95771	-0.373684	2.46196	-1.18643
0.25	1.01044	-0.317529	1.95734	-0.38708	2.47005	-1.22218
0.26	0.983852	-0.336947	1.96061	-0.400132	2.47919	-1.26059
0.27	0.95168	-0.355979	1.966	-0.414665	2.48811	-1.29962
0.28	0.919562	-0.375534	1.97113	-0.432372	2.49571	-1.33735
0.29	0.892987	-0.396564	1.97339	-0.454631	2.50107	-1.37222
0.3	0.87606	-0.419838	1.97068	-0.48235	2.50361	-1.40316
0.31	0.870598	-0.445721	1.96191	-0.515878	2.50302	-1.42972
0.32	0.875757	-0.474015	1.94729	-0.554992	2.49936	-1.45208
0.33	0.888266	-0.503904	1.92825	-0.598974	2.49298	-1.471
0.34	0.903191	-0.53404	1.90693	-0.646752	2.48457	-1.48772
0.35	0.91506	-0.562755	1.8856	-0.697057	2.47506	-1.50379
0.36	0.919069	-0.588377	1.86591	-0.748564	2.46564	-1.52089
0.37	0.912109	-0.609581	1.84841	-0.799991	2.45756	-1.54066
0.38	0.893357	-0.625738	1.83237	-0.850163	2.45201	-1.56445
0.39	0.864319	-0.63713	1.81597	-0.898087	2.44989	-1.59316
0.4	0.828326	-0.644979	1.79693	-0.943094	2.45157	-1.62702
0.41	0.789667	-0.651234	1.77319	-0.985023	2.45671	-1.6655
0.42	0.75259	-0.658168	1.74367	-1.02439	2.46415	-1.70729
0.43	0.720432	-0.667895	1.70873	-1.06244	2.47197	-1.75048
0.44	0.695091	-0.68194	1.67018	-1.10102	2.4777	-1.79282
0.45	0.676906	-0.700978	1.63089	-1.14223	2.4787	-1.83216
0.46	0.664928	-0.724772	1.59401	-1.18797	2.47272	-1.86683
0.47	0.65743	-0.752337	1.56206	-1.23944	2.45834	-1.89601
0.48	0.652493	-0.782219	1.53614	-1.29684	2.43538	-1.91987
0.49	0.648462	-0.81283	1.51549	-1.35914	2.40502	-1.93955
0.5	0.644187	-0.842712	1.49762	-1.42433	2.36968	-1.9569
0.51	0.63902	-0.870671	1.47882	-1.4898	2.33251	-1.97404
0.52	0.632623	-0.89578	1.45512	-1.55292	2.29679	-1.99291
0.53	0.624741	-0.917287	1.42327	-1.61168	2.26519	-2.01487
0.54	0.615034	-0.934532	1.38158	-1.66502	2.23914	-2.04045
0.55	0.603066	-0.946949	1.33028	-1.71295	2.21851	-2.06941
0.56	0.588453	-0.954193	1.27148	-1.75628	2.2015	-2.10086
0.57	0.571083	-0.95638	1.20857	-1.79618	2.18509	-2.13356
0.58	0.5513	-0.95433	1.1454	-1.83364	2.16556	-2.16621
0.59	0.529933	-0.949695	1.08546	-1.86905	2.13931	-2.19766
0.6	0.508157	-0.944841	1.03122	-1.90198	2.10349	-2.22712
0.61	0.487219	-0.942443	0.983763	-1.93133	2.05657	-2.25417
0.62	0.468127	-0.944879	0.942709	-1.95564	1.99852	-2.27883
0.63	0.451396	-0.953573	0.906443	-1.97357	1.93082	-2.30151
0.64	0.436893	-0.968498	0.872556	-1.98434	1.85609	-2.32294
0.65	0.423829	-0.987988	0.838418	-1.98795	1.77756	-2.34407
0.66	0.410894	-1.00894	0.801751	-1.98528	1.69847	-2.36604
0.67	0.396534	-1.02736	0.761061	-1.9779	1.62148	-2.38994
0.68	0.3793	-1.03924	0.71582	-1.96787	1.54835	-2.41672
0.69	0.3582	-1.04142	0.666394	-1.95733	1.47971	-2.4469
0.7	0.332949	-1.0324	0.613768	-1.94818	1.41522	-2.48054
0.71	0.304037	-1.01289	0.559224	-1.94172	1.35377	-2.51713
0.72	0.272589	-0.985793	0.50408	-1.93845	1.29383	-2.55574
0.73	0.240059	-0.955834	0.449539	-1.93805	1.23374	-2.59517
0.74	0.207875	-0.928623	0.39663	-1.93966	1.17195	-2.63411
0.75	0.177124	-0.909547	0.346187	-1.94226	1.10724	-2.67138
0.76	0.148376	-0.90263	0.298821	-1.94519	1.03875	-2.70598
0.77	0.121658	-0.909671	0.254883	-1.94843	0.966113	-2.73728
0.78	0.0965713	-0.929866	0.214413	-1.95274	0.889435	-2.76508
0.79	0.0724965	-0.959997	0.177102	-1.95945	0.809266	-2.78969
0.8	0.0487971	-0.995136	0.142297	-1.96999	0.72653	-2.81197
0.81	0.0249859	-1.0297	0.109055	-1.98535	0.642405	-2.8333
0.82	0.000817398	-1.0586	0.0762569	-2.00555	0.558161	-2.85554
0.83	-0.0236951	-1.07819	0.0427753	-2.02941	0.474969	-2.88072
0.84	-0.0483292	-1.08688	0.00766996	-2.05468	0.393706	-2.91078
0.85	-0.0727538	-1.08519	-0.0296224	-2.07845	0.314805	-2.94713
0.86	-0.0966517	-1.07546	-0.0691596	-2.09792	0.238191	-2.9902
0.87	-0.119822	-1.06111	-0.110478	-2.11118	0.163322	-3.03921
0.88	-0.142227	-1.04589	-0.152707	-2.11778	0.0893471	-3.09197
0.89	-0.163974	-1.03307	-0.194797	-2.11893	0.0153179	-3.14514
0.9	-0.185236	-1.02499	-0.235773	-2.11731	-0.0595775	-3.19461
0.91	-0.206159	-1.02286	-0.274952	-2.11632	-0.135843	-3.23619
0.92	-0.226784	-1.02677	-0.312055	-2.11922	-0.213589	-3.26636
0.93	-0.247004	-1.03607	-0.34719	-2.12815	-0.29256	-3.2829
0.94	-0.266566	-1.0496	-0.38072	-2.14346	-0.372249	-3.28533
0.95	-0.285104	-1.06598	-0.413068	-2.16355	-0.452078	-3.27497
0.96	-0.302176	-1.08376	-0.44451	-2.18515	-0.53159	-3.25462
0.97	-0.317304	-1.10139	-0.475036	-2.20407	-0.610604	-3.22801
0.98	-0.330003	-1.11718	-0.504321	-2.21626	-0.689257	-3.19892
0.99	-0.339812	-1.12924	-0.531847	-2.21878	-0.76792	-3.17047
1	-0.346328	-1.13563	-0.557154	-2.21047	-0.84698	-3.14445
1.01	-0.349266	-1.1346	-0.580129	-2.19212	-0.926554	-3.12113
1.02	-0.348531	-1.12499	-0.601212	-2.16614	-1.00626	-3.09931
1.03	-0.34432	-1.10668	-0.621402	-2.13576	-1.08515	-3.07677
1.04	-0.33721	-1.08091	-0.642054	-2.10417	-1.16182	-3.05086
1.05	-0.328202	-1.05029	-0.664515	-2.07372	-1.23468	-3.0191
1.06	-0.318683	-1.01856	-0.689755	-2.04544	-1.3023	-2.97969
1.07	-0.310281	-0.989949	-0.718095	-2.01902	-1.36366	-2.93172
1.08	-0.304616	-0.968375	-0.749146	-1.99317	-1.41839	-2.87535
1.09	-0.302985	-0.956575	-0.781951	-1.96618	-1.4668	-2.81158
1.1	-0.306052	-0.955463	-0.815289	-1.9366	-1.50979	-2.74203
1.11	-0.313618	-0.963848	-0.848029	-1.90372	-1.54869	-2.66866
1.12	-0.324553	-0.978626	-0.879428	-1.86774	-1.58508	-2.59347
1.13	-0.336922	-0.995423	-0.90927	-1.82966	-1.62059	-2.51831
1.14	-0.348324	-1.00953	-0.937802	-1.79088	-1.65676	-2.44472
1.15	-0.356386	-1.01692	-0.965502	-1.75275	-1.69496	-2.37392
1.16	-0.359308	-1.01506	-0.992765	-1.71614	-1.73625	-2.3067
1.17	-0.356316	-1.0034	-1.01964	-1.68129	-1.78139	-2.24351
1.18	-0.347865	-0.98337	-1.04575	-1.64786	-1.83067	-2.18435
1.19	-0.335555	-0.958004	-1.07044	-1.61513	-1.88384	-2.12886
1.2	-0.321753	-0.931295	-1.09309	-1.58237	-1.94006	-2.0763
1.21	-0.30906	-0.9074	-1.11354	-1.54914	-1.99782	-2.02567
1.22	-0.299778	-0.889906	-1.13234	-1.51542	-2.05509	-1.9758
1.23	-0.295496	-0.881262	-1.15077	-1.48169	-2.10959	-1.92558
1.24	-0.296896	-0.882479	-1.17069	-1.44876	-2.15908	-1.87405
1.25	-0.303769	-0.893131	-1.19399	-1.4175	-2.20182	-1.82061
1.26	-0.315229	-0.911596	-1.22209	-1.38859	-2.23693	-1.76511
1.27	-0.330028	-0.935437	-1.25537	-1.36223	-2.26462	-1.70782
1.28	-0.346892	-0.9618	-1.29287	-1.3381	-2.28625	-1.64941
1.29	-0.364769	-0.987743	-1.33236	-1.31546	-2.30411	-1.59076
1.3	-0.382931	-1.01048	-1.37072	-1.29342	-2.32099	-1.53277
1.31	-0.400904	-1.02753	-1.40467	-1.27121	-2.33965	-1.47616
1.32	-0.418308	-1.03692	-1.43162	-1.24841	-2.36219	-1.42136
1.33	-0.434688	-1.03724	-1.45035	-1.22498	-2.38962	-1.36844
1.34	-0.449466	-1.02786	-1.46138	-1.20123	-2.42163	-1.31722
1.35	-0.462044	-1.00898	-1.46682	-1.1776	-2.45665	-1.26738
1.36	-0.472052	-0.981619	-1.46985	-1.15455	-2.49216	-1.21861
1.37	-0.479656	-0.947582	-1.47388	-1.13234	-2.52532	-1.17071
1.38	-0.485795	-0.909306	-1.48165	-1.11104	-2.55347	-1.12363
1.39	-0.492229	-0.869633	-1.4946	-1.09042	-2.57474	-1.07748
1.4	-0.501327	-0.831498	-1.51261	-1.0701	-2.58829	-1.0324
1.41	-0.515607	-0.797541	-1.53424	-1.04963	-2.59449	-0.988547
1.42	-0.537116	-0.769689	-1.55727	-1.02868	-2.59468	-0.946
1.43	-0.566804	-0.748816	-1.57946	-1.0072	-2.59089	-0.904725
1.44	-0.604063	-0.734585	-1.59924	-0.985517	-2.58541	-0.864576
1.45	-0.646582	-0.725547	-1.61616	-0.964315	-2.58047	-0.825318
1.46	-0.690613	-0.719482	-1.63091	-0.944511	-2.57794	-0.786674
1.47	-0.73165	-0.713888	-1.64502	-0.927083	-2.57922	-0.748361
1.48	-0.765367	-0.70649	-1.66026	-0.912899	-2.58517	-0.710123
1.49	-0.788606	-0.695669	-1.67801	-0.902577	-2.5962	-0.671744
1.5	-0.800144	-0.680722	-1.69875	-0.896393	-2.61229	-0.633072
1.51	-0.801034	-0.661967	-1.72188	-0.894195	-2.633	-0.594056
1.52	-0.794419	-0.640656	-1.7459	-0.895342	-2.65745	-0.554811
1.53	-0.784877	-0.618725	-1.76891	-0.898673	-2.6843	-0.515685
1.54	-0.777427	-0.598384	-1.7892	-0.902575	-2.71178	-0.477325
1.55	-0.776469	-0.581615	-1.80582	-0.905176	-2.73779	-0.440666
1.56	-0.78486	-0.569706	-1.81891	-0.904655	-2.76016	-0.406834
1.57	-0.80336	-0.56293	-1.82966	-0.899601	-2.77695	-0.376945
1.58	-0.830532	-0.560484	-1.84002	-0.88931	-2.78681	-0.351863
1.59	-0.863115	-0.560696	-1.85208	-0.873935	-2.78923	-0.331968
1.6	-0.89678	-0.561438	-1.86743	-0.854443	-2.78481	-0.317009
1.61	-0.927083	-0.560611	-1.88648	-0.832422	-2.77517	-0.306074
1.62	-0.950389	-0.556567	-1.90825	-0.809792	-2.76284	-0.297705
1.63	-0.964543	-0.548351	-1.93033	-0.788504	-2.75081	-0.29012
1.64	-0.969153	-0.535766	-1.94942	-0.770252	-2.74204	-0.281529
1.65	-0.96544	-0.519282	-1.96209	-0.756208	-2.73882	-0.270487
1.66	-0.955749	-0.499856	-1.96568	-0.746787	-2.74233	-0.256221
1.67	-0.942898	-0.478725	-1.95907	-0.741515	-2.75232	-0.238845
1.68	-0.92955	-0.457171	-1.94303	-0.739072	-2.76715	-0.219398
1.69	-0.917757	-0.436321	-1.92017	-0.737534	-2.78396	-0.199668
1.7	-0.90876	-0.417	-1.89448	-0.734776	-2.79929	-0.181828
1.71	-0.903016	-0.399672	-1.87041	-0.728934	-2.80965	-0.167975
1.72	-0.900412	-0.38448	-1.85198	-0.718787	-2.8123	-0.159693
1.73	-0.900538	-0.371357	-1.84181	-0.703992	-2.80579	-0.157716
1.74	-0.902935	-0.360153	-1.84063	-0.685125	-2.79035	-0.161789
1.75	-0.907242	-0.350727	-1.84708	-0.663567	-2.76791	-0.170729
1.76	-0.913197	-0.342969	-1.85807	-0.641258	-2.74176	-0.18266
1.77	-0.920513	-0.336758	-1.86955	-0.62038	-2.71601	-0.195404
1.78	-0.928663	-0.331903	-1.8775	-0.603012	-2.69478	-0.206896
1.79	-0.936715	-0.328098	-1.87897	-0.590818	-2.68143	-0.215572
1.8	-0.94329	-0.324913	-1.87278	-0.584832	-2.67795	-0.220622
1.81	-0.946756	-0.321849	-1.85986	-0.585382	-2.68459	-0.222059
1.82	-0.945634	-0.31843	-1.84297	-0.592126	-2.6999	-0.220637
1.83	-0.939114	-0.31434	-1.82596	-0.604171	-2.72107	-0.217642
1.84	-0.927523	-0.309579	-1.81278	-0.620187	-2.74452	-0.214639
1.85	-0.912545	-0.304588	-1.80648	-0.638543	-2.76667	-0.213197
1.86	-0.897091	-0.300282	-1.80855	-0.657466	-2.78453	-0.214651
1.87	-0.884789	-0.29793	-1.81867	-0.675272	-2.79621	-0.219899
1.88	-0.879202	-0.298875	-1.83496	-0.690651	-2.80112	-0.22928
1.89	-0.882967	-0.304181	-1.85452	-0.702935	-2.79992	-0.242551
1.9	-0.897054	-0.314305	-1.87421	-0.712251	-2.79424	-0.258972
1.91	-0.920344	-0.328899	-1.89137	-0.719493	-2.78629	-0.277483
1.92	-0.949666	-0.346805	-1.90438	-0.726125	-2.77844	-0.296929
1.93	-0.980314	-0.366245	-1.91279	-0.733856	-2.7728	-0.316278
1.94	-1.00695	-0.385158	-1.9172	-0.744291	-2.77091	-0.334788
1.95	-1.02471	-0.40162	-1.91882	-0.758623	-2.77361	-0.352079
1.96	-1.03027	-0.414241	-1.91895	-0.777408	-2.78095	-0.368141
1.97	-1.02258	-0.42249	-1.91843	-0.800433	-2.79227	-0.383289
1.98	-1.0031	-0.426848	-1.9174	-0.826686	-2.80634	-0.398103
1.99	-0.975528	-0.428769	-1.91524	-0.85444	-2.82154	-0.41336
2	-0.944897	-0.430407	-1.91092	-0.881488	-2.83602	-0.429952
2.01	-0.916525	-0.434152	-1.90337	-0.905518	-2.8479	-0.448792
2.02	-0.894818	-0.442084	-1.89203	-0.924559	-2.85543	-0.470695
2.03	-0.882346	-0.455463	-1.87711	-0.9374	-2.85722	-0.496263
2.04	-0.879354	-0.474414	-1.85973	-0.943847	-2.85236	-0.525783
2.05	-0.883807	-0.497888	-1.84168	-0.944755	-2.8406	-0.559182
2.06	-0.891951	-0.523931	-1.82496	-0.941799	-2.82245	-0.596037
2.07	-0.899235	-0.550166	-1.81121	-0.937067	-2.79924	-0.635662
2.08	-0.901371	-0.574367	-1.80111	-0.932589	-2.77303	-0.677236
2.09	-0.89527	-0.594933	-1.79406	-0.929948	-2.74639	-0.719962
2.1	-0.879637	-0.611166	-1.78817	-0.930055	-2.72211	-0.76321
2.11	-0.85509	-0.623305	-1.7807	-0.933117	-2.70267	-0.806622
2.12	-0.823814	-0.632378	-1.76884	-0.938771	-2.68978	-0.850142
2.13	-0.788873	-0.639937	-1.75059	-0.946309	-2.68394	-0.893959
2.14	-0.753424	-0.647734	-1.72545	-0.954972	-2.68424	-0.938376
2.15	-0.720034	-0.657419	-1.69483	-0.964216	-2.68836	-0.98365
2.16	-0.690291	-0.670294	-1.66176	-0.973893	-2.69299	-1.02985
2.17	-0.664737	-0.687178	-1.63025	-0.984282	-2.69446	-1.07679
2.18	-0.643099	-0.708382	-1.60426	-0.995958	-2.68941	-1.1241
2.19	-0.624684	-0.733772	-1.58663	-1.00955	-2.67558	-1.17133
2.2	-0.608768	-0.762855	-1.57829	-1.02547	-2.65224	-1.21812
2.21	-0.594876	-0.794841	-1.57794	-1.04373	-2.62033	-1.26439
2.22	-0.58283	-0.82865	-1.58231	-1.06388	-2.58226	-1.31039
2.23	-0.572604	-0.862903	-1.58695	-1.08504	-2.54133	-1.35672
2.24	-0.564043	-0.895931	-1.58741	-1.10617	-2.50096	-1.40427
2.25	-0.556575	-0.925857	-1.58031	-1.12626	-2.46397	-1.45395
2.26	-0.549064	-0.95076	-1.56419	-1.14467	-2.43198	-1.50649
2.27	-0.539891	-0.968912	-1.53978	-1.16131	-2.40513	-1.56214
2.28	-0.52728	-0.979038	-1.50966	-1.17682	-2.38222	-1.62055
2.29	-0.5098	-0.980562	-1.47744	-1.1924	-2.36109	-1.68079
2.3	-0.486893	-0.973801	-1.44669	-1.20962	-2.33917	-1.74152
2.31	-0.459262	-0.960076	-1.41995	-1.22995	-2.31409	-1.80129
2.32	-0.428952	-0.941708	-1.39805	-1.25439	-2.2841	-1.85889
2.33	-0.399071	-0.921848	-1.38001	-1.28308	-2.24836	-1.91352
2.34	-0.373178	-0.904092	-1.36347	-1.31528	-2.20689	-1.96499
2.35	-0.354499	-0.891892	-1.34549	-1.34957	-2.16039	-2.01359
2.36	-0.345176	-0.887851	-1.32349	-1.38435	-2.10993	-2.05996
2.37	-0.345733	-0.893099	-1.29606	-1.41833	-2.05662	-2.1049
2.38	-0.354889	-0.906928	-1.26337	-1.45107	-2.00142	-2.14912
2.39	-0.369779	-0.926826	-1.22702	-1.48308	-1.945	-2.19319
2.4	-0.386545	-0.948941	-1.18956	-1.51567	-1.88787	-2.23755
2.41	-0.401195	-0.968878	-1.15358	-1.55045	-1.83046	-2.28261
2.42	-0.41052	-0.982669	-1.12089	-1.58875	-1.7733	-2.32893
2.43	-0.412806	-0.987704	-1.09193	-1.63097	-1.71705	-2.3773
2.44	-0.408127	-0.983389	-1.06565	-1.67623	-1.66249	-2.42868
2.45	-0.398155	-0.971342	-1.0399	-1.72239	-1.6103	-2.48408
2.46	-0.385564	-0.955024	-1.01217	-1.76661	-1.56088	-2.54415
2.47	-0.37326	-0.938882	-0.980406	-1.80615	-1.51406	-2.60888
2.48	-0.363667	-0.92724	-0.943663	-1.83935	-1.46908	-2.67731
2.49	-0.358247	-0.923269	-0.902331	-1.86633	-1.42458	-2.7474
2.5	-0.357343	-0.928325	-0.857989	-1.8891	-1.37883	-2.81628
2.51	-0.360312	-0.941821	-0.812901	-1.91112	-1.33005	-2.88067
2.52	-0.365884	-0.961622	-0.769331	-1.93631	-1.27679	-2.93757
2.53	-0.372576	-0.98481	-0.728902	-1.96783	-1.21822	-2.98492
2.54	-0.379046	-1.00854	-0.692182	-2.00694	-1.15428	-3.02212
2.55	-0.384273	-1.03074	-0.65862	-2.05244	-1.08572	-3.0502
2.56	-0.387565	-1.05041	-0.626821	-2.10071	-1.01388	-3.07167
2.57	-0.388448	-1.0675	-0.595044	-2.14655	-0.940311	-3.08996
2.58	-0.386525	-1.08245	-0.561749	-2.18443	-0.866454	-3.10859
2.59	-0.381383	-1.09557	-0.52602	-2.20992	-0.793262	-3.13035
2.6	-0.372578	-1.1066	-0.487732	-2.22095	-0.72107	-3.15658
2.61	-0.359698	-1.11453	-0.447443	-2.21827	-0.649651	-3.18676
2.62	-0.34248	-1.11785	-0.406083	-2.20532	-0.578439	-3.21861
2.63	-0.320913	-1.11511	-0.364587	-2.18728	-0.506814	-3.24857
2.64	-0.295283	-1.10561	-0.323623	-2.16961	-0.434334	-3.27262
2.65	-0.266147	-1.09002	-0.283472	-2.15666	-0.360853	-3.28718
2.66	-0.234236	-1.07063	-0.24406	-2.15057	-0.286518	-3.2899
2.67	-0.200322	-1.05101	-0.20508	-2.15082	-0.211676	-3.28006
2.68	-0.16509	-1.03537	-0.166157	-2.15464	-0.136735	-3.25864
2.69	-0.129048	-1.02744	-0.126995	-2.15797	-0.0620216	-3.22797
2.7	-0.0924936	-1.02936	-0.0874776	-2.15676	0.0123122	-3.19111
2.71	-0.0555681	-1.04095	-0.0476785	-2.14828	0.0863114	-3.15118
2.72	-0.018359	-1.05941	-0.00780622	-2.13183	0.160167	-3.11083
2.73	0.0189857	-1.07985	0.031903	-2.10891	0.234123	-3.07189
2.74	0.0561904	-1.09627	0.071279	-2.08266	0.308381	-3.03531
2.75	0.0928628	-1.10304	0.110258	-2.0568	0.383058	-3.00139
2.76	0.12858	-1.0963	0.14886	-2.03449	0.458192	-2.97005
2.77	0.163018	-1.07493	0.187122	-2.01739	0.533791	-2.9411
2.78	0.196097	-1.04094	0.225041	-2.00527	0.609864	-2.9144
2.79	0.228075	-0.999037	0.262568	-1.99621	0.686421	-2.88983
2.8	0.259572	-0.955516	0.299671	-1.9874	0.7634	-2.86715
2.81	0.291475	-0.916823	0.336471	-1.97613	0.840556	-2.84583
2.82	0.324726	-0.888081	0.37338	-1.96073	0.917361	-2.82493
2.83	0.36005	-0.872006	0.411164	-1.94122	0.992976	-2.80317
2.84	0.397698	-0.868461	0.450866	-1.91931	1.06636	-2.77913
2.85	0.43731	-0.874699	0.493578	-1.89793	1.13648	-2.75154
2.86	0.477924	-0.886209	0.54013	-1.88036	1.20263	-2.71967
2.87	0.518135	-0.897878	0.590789	-1.86917	1.2647	-2.6836
2.88	0.556345	-0.90519	0.645059	-1.86539	1.32335	-2.64435
2.89	0.591057	-0.905161	0.701623	-1.86813	1.38	-2.60372
2.9	0.621145	-0.896815	0.758468	-1.87461	1.43667	-2.56402
2.91	0.646056	-0.881114	0.813201	-1.88093	1.49557	-2.52749
2.92	0.66586	-0.860441	0.863544	-1.88299	1.5586	-2.4958
2.93	0.68114	-0.837797	0.907941	-1.87756	1.62677	-2.46962
2.94	0.692755	-0.815982	0.946089	-1.863	1.69986	-2.44851
2.95	0.701571	-0.796978	0.979217	-1.83961	1.77622	-2.43097
2.96	0.708254	-0.781667	1.00995	-1.80944	1.853	-2.41479
2.97	0.713194	-0.769933	1.04178	-1.77571	1.92672	-2.39742
2.98	0.716551	-0.761057	1.07825	-1.74196	1.99401	-2.37652
2.99	0.718408	-0.754253	1.12211	-1.71101	2.0523	-2.35037
3	0.718973	-0.749155	1.17454	-1.68428	2.10043	-2.31821
3.01	0.718749	-0.746056	1.23474	-1.66135	2.13892	-2.28042
3.02	0.718591	-0.745821	1.29994	-1.64009	2.16979	-2.23839
3.03	0.719561	-0.749474	1.36598	-1.61736	2.19618	-2.19426
3.04	0.722583	-0.757631	1.4282	-1.58988	2.22154	-2.15042
3.05	0.727992	-0.769999	1.48267	-1.5552	2.24895	-2.10902
3.06	0.735184	-0.78516	1.52718	-1.51236	2.28037	-2.07153
3.07	0.742535	-0.800746	1.56178	-1.46213	2.31638	-2.03842
3.08	0.747714	-0.81397	1.58863	-1.40671	2.35611	-2.00911
3.09	0.748333	-0.822356	1.61127	-1.34909	2.3976	-1.98215
3.1	0.742778	-0.824396	1.63343	-1.29229	2.43838	-1.95556
3.11	0.730944	-0.819912	1.65785	-1.23863	2.47599	-1.92732
3.12	0.714591	-0.810013	1.68544	-1.18943	2.50851	-1.89577
3.13	0.69715	-0.796712	1.71505	-1.14496	2.53485	-1.85989
3.14	0.682993	-0.782358	1.7439	-1.10466	2.55477	-1.81941
3.15	0.67638	-0.769035	1.76853	-1.06751	2.56874	-1.77467
3.16	0.680357	-0.758075	1.78588	-1.03243	2.57765	-1.72645
3.17	0.695913	-0.749761	1.79424	-0.998605	2.58255	-1.67571
3.18	0.721581	-0.7433	1.79379	-0.965651	2.58443	-1.62334
3.19	0.753615	-0.737062	1.78659	-0.933643	2.58407	-1.57009
3.2	0.786718	-0.729019	1.77603	-0.90292	2.58211	-1.51654
3.21	0.815175	-0.717264	1.76589	-0.87382	2.57915	-1.46319
3.22	0.834134	-0.700472	1.75927	-0.846441	2.57591	-1.4106
3.23	0.84072	-0.678208	1.75776	-0.820501	2.57335	-1.35945
3.24	0.834683	-0.651042	1.76099	-0.795337	2.5727	-1.31052
3.25	0.818409	-0.620485	1.76685	-0.770041	2.57526	-1.2646
3.26	0.796304	-0.588742	1.77219	-0.74369	2.58214	-1.2223
3.27	0.773716	-0.55833	1.77393	-0.715644	2.59388	-1.18384
3.28	0.755695	-0.531623	1.77013	-0.68581	2.61021	-1.149
3.29	0.745897	-0.510439	1.76079	-0.654772	2.62986	-1.11698
3.3	0.745916	-0.495788	1.74807	-0.623718	2.65077	-1.08664
3.31	0.755161	-0.487843	1.73582	-0.594148	2.67042	-1.05666
3.32	0.771278	-0.486113	1.7286	-0.567461	2.68645	-1.02589
